STT,Tên máy client,Tên máy chủ,Địa chỉ IP,Vùng mạng,HIỆN TRẠNG ĐÁNH GIÁ VA,HIỆN TRẠNG RÀ QUÉT CA,OS,Người thực hiện,Kết quả,Note
1,,SRV-DC-01,10.20.1.10,DC Zone,Hoàn thành,Hoàn thành,Windows Server 2022,DucNV,Phát hiện mã độc,Cobalt Strike Beacon - C2 callback tới 185.141.27.10; evidence EDR-001
2,,SRV-DC-02,10.20.1.11,DC Zone,Hoàn thành,Hoàn thành,Windows Server 2019,DucNV,Phát hiện mã độc,Mimikatz credential dumping trên lsass.exe; evidence EDR-002
3,,SRV-MAIL-01,10.20.2.20,DMZ,Hoàn thành,Hoàn thành,Windows Server 2019,DucNV,Phát hiện mã độc,Webshell China Chopper trong thư mục Exchange OWA; hash SHA256 9f2d...a81c
4,,SRV-FILE-01,10.20.3.30,Server Zone,Hoàn thành,Hoàn thành,Windows Server 2022,DucNV,Phát hiện mã độc,LockBit ransomware note và file mã hóa .lockbit được ghi nhận
5,,SRV-WEB-01,10.20.2.21,DMZ,Hoàn thành,Hoàn thành,Ubuntu 22.04 LTS,DucNV,Phát hiện mã độc,PlugX backdoor thông qua DLL sideloading; IOC 203.0.113.25
6,,SRV-APP-01,10.20.3.31,Server Zone,Hoàn thành,Hoàn thành,Rocky Linux 9,DucNV,Ghi nhận dấu hiệu bất thường,Reverse shell từ /tmp/.cache_update và crontab persistence tới 198.51.100.12
7,,SRV-PROXY-01,10.20.2.22,DMZ,Hoàn thành,Hoàn thành,Ubuntu 20.04 LTS,DucNV,Cần xác minh,"Phát hiện Proxifier chạy dưới tài khoản svc_backup, chưa có phê duyệt"
8,,SRV-JUMP-01,10.20.1.12,Management Zone,Hoàn thành,Hoàn thành,Windows Server 2022,DucNV,Không phát hiện - Đã kiểm tra,Tor Browser được phê duyệt cho kiểm thử SOC; authorized change CHG-2026-071
9,,SRV-DB-01,10.20.3.32,Database Zone,Hoàn thành,Hoàn thành,Oracle Linux 8,DucNV,Ghi nhận dấu hiệu bất thường,PowerShell encoded command được gọi từ sqlservr.exe; cần phân tích process tree
10,,SRV-DB-02,10.20.3.33,Database Zone,Hoàn thành,Hoàn thành,Windows Server 2019,DucNV,Cần xác minh,Driver unsigned dbflt.sys mới xuất hiện sau cửa sổ bảo trì
11,,SRV-DNS-01,10.20.1.13,DC Zone,Hoàn thành,Hoàn thành,Windows Server 2019,DucNV,Ghi nhận dấu hiệu bất thường,DNS tunneling nghi vấn: truy vấn TXT dài tới update-check.example.net
12,,SRV-VPN-01,10.20.2.23,DMZ,Hoàn thành,Hoàn thành,Ubuntu 22.04 LTS,DucNV,Cần xác minh,Đăng nhập VPN ngoài giờ từ 203.0.113.78; MFA thành công nhưng vị trí bất thường
13,,SRV-ERP-01,10.20.3.34,Server Zone,Hoàn thành,Hoàn thành,Windows Server 2016,DucNV,Ghi nhận dấu hiệu bất thường,PsExec tạo service PSEXESVC và kết nối lateral movement từ SRV-APP-01
14,,SRV-BACKUP-01,10.20.4.40,Backup Zone,Hoàn thành,Hoàn thành,Windows Server 2022,DucNV,Cần xác minh,Tài khoản backup_temp được thêm vào local Administrators; ticket chưa được liên kết
15,,SRV-LOG-01,10.20.4.41,Security Zone,Hoàn thành,Hoàn thành,Ubuntu 22.04 LTS,DucNV,Ghi nhận dấu hiệu bất thường,LaZagne credential dump artifact trong /var/tmp; source SIEM-044
16,,SRV-MONITOR-01,10.20.4.42,Security Zone,Hoàn thành,Hoàn thành,Debian 12,DucNV,Không phát hiện,"Không ghi nhận bất thường; EDR, auditd và checksum đều hợp lệ"
17,,SRV-PRINT-01,10.20.3.35,Server Zone,Hoàn thành,Hoàn thành,Windows Server 2016,DucNV,Không phát hiện,Không phát hiện malware; bản vá PrintNightmare đã được xác nhận
18,,SRV-WSUS-01,10.20.3.36,Server Zone,Hoàn thành,Hoàn thành,Windows Server 2022,DucNV,Chưa kết luận,Agent EDR mất kết nối 37 phút; cần thu thập lại telemetry trước khi kết luận
19,,SRV-DEVOPS-01,10.20.5.50,DevOps Zone,Hoàn thành,Hoàn thành,Ubuntu 24.04 LTS,DucNV,Không phát hiện - Đã kiểm tra,Ngrok được phê duyệt cho pipeline thử nghiệm; owner DevSecOps; CHG-2026-088
20,,SRV-CITRIX-01,10.20.2.24,DMZ,Hoàn thành,Hoàn thành,Windows Server 2019,DucNV,Cần xác minh,Citrix ADC có phiên bản cần vá; chưa có bằng chứng khai thác
21,,SRV-API-01,10.20.3.37,Application Zone,Hoàn thành,Hoàn thành,Red Hat Enterprise Linux 9,DucNV,Ghi nhận dấu hiệu bất thường,Systemd service update-agent trỏ tới binary ngoài baseline; hash 6ab1...90fe
22,,SRV-STORAGE-01,10.20.4.43,Storage Zone,Hoàn thành,Hoàn thành,TrueNAS SCALE,DucNV,Không phát hiện,Quét hoàn tất; cấu hình chia sẻ và nhật ký truy cập phù hợp baseline
23,PC-KT-001,,10.30.10.101,LAN Kế toán,Hoàn thành,Hoàn thành,Windows 11 Pro,DucNV,Phát hiện mã độc,Emotet dropper qua macro Excel; child process powershell.exe; IOC 198.51.100.41
24,PC-NS-002,,10.30.11.102,LAN Nhân sự,Hoàn thành,Hoàn thành,Windows 10 Pro,DucNV,Phát hiện mã độc,HawkEye keylogger gửi log qua SMTP tới email ngoài tổ chức
25,PC-GD-003,,10.30.12.103,LAN Ban GĐ,Hoàn thành,Hoàn thành,Windows 11 Pro,DucNV,Phát hiện mã độc,ShadowPad backdoor persistence bằng scheduled task AdobeUpdate
26,PC-IT-004,,10.30.13.104,LAN CNTT,Hoàn thành,Hoàn thành,Windows 11 Enterprise,DucNV,Phát hiện mã độc,QakBot trojan được tải từ OneNote attachment; quarantine thành công
27,PC-KD-005,,10.30.14.105,LAN Kinh doanh,Hoàn thành,Hoàn thành,Windows 10 Pro,DucNV,Phát hiện mã độc,Ransomware Conti simulation file bị EDR chặn trong purple-team exercise
28,PC-HC-006,,10.30.15.106,LAN Hành chính,Hoàn thành,Hoàn thành,Windows 11 Pro,DucNV,Cần xác minh,Chrome extension không thuộc allowlist có quyền đọc toàn bộ website
29,PC-REMOTE-007,,10.30.16.107,VPN Users,Hoàn thành,Hoàn thành,Windows 11 Pro,DucNV,Cần xác minh,"Psiphon được cài từ thư mục Downloads, không có ticket phê duyệt"
30,PC-MKT-008,,10.30.17.108,LAN Marketing,Hoàn thành,Hoàn thành,macOS Sonoma,DucNV,Không phát hiện - Đã kiểm tra,UltraSurf authorized cho chiến dịch kiểm thử; được phê duyệt bởi quản lý
31,PC-IT-009,,10.30.13.109,LAN CNTT,Hoàn thành,Hoàn thành,Windows 11 Enterprise,DucNV,Không phát hiện - Đã kiểm tra,AnyDesk được phê duyệt cho hỗ trợ từ xa; owner IT Helpdesk
